가게,맛,양,주문,사용자id,리뷰
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
청년치킨-서교점,5,5,후라이드반＋핫간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),sk,조각들이 큼직큼직하고 양도 많은 데다 엄청 바삭해서 좋았습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),sj,라이더님이 매우 친절하셨고 치킨은 늘 그렇듯 맛있었습니다!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),br,매콤하고 맛있어요!! 리뷰이벤트 소스가 안왔네요 근데 ㅜㅜ
청년치킨-서교점,4,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(콜라1.25L로 변경)),참이슬 /2",ct,약간 기름이 많았지만 그것빼곤 만족!! 맛있게 잘먹었습니다
청년치킨-서교점,5,5,후라이드반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(뼈)),ks,굿 맛있어요 바삭바삭하고 고기질도 좋습니다
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(뼈)),mi,예상보다 배달 엄청 빨랐어요! 갑자기 먹고 싶어서 시킨건데 튀김옷 완전 빠삭 크리스피 하규 맛있었어요 ㅎㅎ
청년치킨-서교점,5,5,"후라이드반＋양념반＋콜라 500ml/1(뼈 or 순살 선택(뼈),추가 선택(무 추가),음료 추가 선택(코카콜라제로1.25L 변경))",be,서비스도 많고 맛도 맛있어서 자주 먹어요! 닭 덩어리가 조금 큰 게 아쉽긴 합니다만 ㅠㅠ 그게 가게 스타일이니까요...
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),go,잘먹었어용 배달도 빠르고 맛도 좋아요
청년치킨-서교점,5,5,양념반＋간장반＋콜라 500ml/1(뼈 or 순살 선택(순살)),hi,청년치킨은 믿고 먹어요 항상 부드럽고 맛있어요!!
청년치킨-서교점,5,5,바삭매콤 후라이드/1(뼈 or 순살 선택(순살)),by,매콤한지는 모르겠어요 맛있게 잘먹었습니당(((o(ﾟ▽ﾟ)o)))♡
