가게,맛,양,날짜,주문,사용자id,리뷰
후라이드참잘하는집-서강대점,5,5,2일 전," ★ 5 배달 ★ 5
핫간장치킨（무＋소스＋콜라）/1",st,주문해놓고 샤워하고 나왔는데 바로 왔음 배달은 항상 빨라서 좋고 맛은 말할거 없이 맛있어서 매우 잘 먹었습니다.
후라이드참잘하는집-서강대점,5,5,3일 전," ★ 5 배달 ★ 5
순살 후라이드/1",yh,맛있어요 너무 맛ㅇㅅ어옿
후라이드참잘하는집-서강대점,5,5,4일 전," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드),추가 선택(",id,너무 맛있게 잘 먹렀어요. 머스터드 소스 넉넉히 주셔수 모자라지 않게 잘 먹었습니다.
후라이드참잘하는집-서강대점,5,5,5일 전," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드))",rl,굳굳굳 잘 먹었습니당
후라이드참잘하는집-서강대점,5,5,5일 전," ★ 5 배달 ★ 5
핫토스치킨（뼈）（무＋소스＋콜라）/1",st,시즈닝 팍팍~넘 맛있었요 간만에 치킨 먹은건데 기분좋게 먹었어요
후라이드참잘하는집-서강대점,5,5,6일 전," ★ 5 배달 ★ 5
반반치킨（후라이드반＋",ye,맛있게 먹었어요!!
후라이드참잘하는집-서강대점,5,5,6일 전," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",23,맛있게 잘 먹었어요
후라이드참잘하는집-서강대점,5,5,일주일 전," ★ 5 배달 ★ 5
반반치킨（후라이드반＋",se,11시 넘어서 주문했는데도 15분만에 왔어요 맛있게 잘 먹었습니다
후라이드참잘하는집-서강대점,5,5,일주일 전," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",23,맛있게 잘 먹었어요
후라이드참잘하는집-서강대점,5,5,2023년 2월 13일," ★ 5 배달 ★ 5
순살반반치킨（후라이드반＋",lo,말해 모해요… 후참잘임
후라이드참잘하는집-서강대점,5,5,2023년 2월 13일," ★ 5 배달 ★ 5
눈꽃치즈치킨（무＋소스＋콜라）/1",ad,잘먹었습니다. 지난번보다 더 맛있어요😊
후라이드참잘하는집-서강대점,5,5,2023년 2월 12일," ★ 5 배달 ★ 5
순살반반치킨 （",es,맛있어오 아주 근디 치킨 한 조각이 너뮤 커서 먹기가 힘들어요
후라이드참잘하는집-서강대점,5,5,2023년 2월 12일," ★ 5 배달 ★ 5
반마리（뼈）/1(반마리 메뉴 선택(후라이드))",cu,반마리는 양이 좀 적긴 해요 근데 맛있음 ㅋㅋ
후라이드참잘하는집-서강대점,5,5,2023년 2월 12일," ★ 5 배달 ★ 5
순살 ",tj,소스 넉넉한거 보세요.. 진짜 존맛ㅠㅠ 어제 밤부터 먹고싶어서 벼르다가 일어나자마자 시켰어여 최고
후라이드참잘하는집-서강대점,5,5,2023년 2월 12일," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드))",ch,저는 후기를 자주 하지 않는 편인데 그래서도 해야지 이렇게 생각하는 만큼 맛있고 무엇보다 양이 많아서 정말 대단해요!!! 다시 꼭 주문할게요!!!
후라이드참잘하는집-서강대점,5,4,2023년 2월 11일," ★ 4 배달 ★ 5
반반치킨（후라이드반＋",ja,오랜만에 주문했는데 맛나게 먹었어요. 소스맛이 짱이네요^^
후라이드참잘하는집-서강대점,5,5,2023년 2월 11일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",sl,항상 잘먹고있습니다 번창하세요
후라이드참잘하는집-서강대점,5,5,2023년 2월 10일," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드),추가 선택(매운",hs,맛있게 잘 먹었습니다
후라이드참잘하는집-서강대점,5,5,2023년 2월 10일," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드))",yu,정말 정말 자주 시켜먹는데 이번에는 뭔가 평소보단 조금 딱딱하고 퍽퍽 ..? 했던 거ㅠ같아서 아쉽습니다 ㅜㅜ 그래도 계속 시켜먹을거에요 서강대점이 제일 맛있어요
후라이드참잘하는집-서강대점,5,5,2023년 2월 10일," ★ 5 배달 ★ 5
순살반반치킨 （간장반＋핫토스반） （무＋소스＋콜라）/1",fo,핫토스 생각보다 안 매웠어요! 잘 먹었습니다
후라이드참잘하는집-서강대점,5,5,2023년 2월 9일," ★ 5 배달 ★ 5
반마리（뼈）/1(반마리 메뉴 선택(후라이드)),감자튀김/1",me,맛있어요 ~~~~~
후라이드참잘하는집-서강대점,5,5,2023년 2월 9일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1(추가 선택(갈릭디핑소스))",sh,너무 맛있게 먹었어요!!
후라이드참잘하는집-서강대점,5,5,2023년 2월 7일," ★ 5 배달 ★ 5
눈꽃치즈치킨（무＋소스＋콜라）/1",ko,마싯서요 우으으음 냠냠냠
후라이드참잘하는집-서강대점,5,5,2023년 2월 7일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",rl,굳굳굳 역시 항상 맛나여
후라이드참잘하는집-서강대점,5,5,2023년 2월 6일," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(핫간장치킨))",sw,반마리가 맞나요?한마리같은데요 사장님.. 양념인데도 바삭해서 너무 맛있게 잘 먹었습니다 양이 많아서 반 먹고 남겼어요~~
후라이드참잘하는집-서강대점,5,5,2023년 2월 5일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",ke,너무 좋아요~~맛있다!!!
후라이드참잘하는집-서강대점,5,5,2023년 2월 4일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1(추가 선택(",cu,오랜만에 시켰는데 역시 맛있어요!! 살도 많고
후라이드참잘하는집-서강대점,5,5,2023년 2월 3일," ★ 5 배달 ★ 5
눈꽃치즈치킨（무＋소스＋콜라）/1",ad,밤에 갑자기 치킨이 땡겨서 오랜만에 후참에서 한마리 했습니다. 예전엔 가루도 잔뜩 뿌려주시고 했는데 조금 아쉬웠습니다. 구래도 남김없이 싹싹 잘 먹었습니다~
후라이드참잘하는집-서강대점,5,5,2023년 2월 2일," ★ 5 배달 ★ 5
핫간장치킨（무＋소스＋콜라）/1",st,닭가슴살인지도 모르고 먹었어요 매콤한 간장 넘 맛있음
후라이드참잘하는집-서강대점,5,5,2023년 1월 31일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",23,맛있게 잘 먹었어요
후라이드참잘하는집-서강대점,5,5,2023년 1월 30일," ★ 5 배달 ★ 5
순살 후라이드/1",hi,이번엔 순살로 시켜봤어요 양도 많고 먹기 편해서 좋습니다^^ 배달도 진짜 빨라요
후라이드참잘하는집-서강대점,5,5,2023년 1월 30일," ★ 5 배달 ★ 5
반반치킨（후라이드반＋킹트리플반）/1(콜라1.25L로변경(콜라1.25L로변경))",se,후라이드 진짜 잘하네요~
후라이드참잘하는집-서강대점,5,5,2023년 1월 28일," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드),추가 선택(치즈볼 4개),추가 선택(치즈머스타드소스))",po,맛있게 잘 먹었습니다~!
후라이드참잘하는집-서강대점,5,5,2023년 1월 28일," ★ 5 배달 ★ 5
반반치킨（후라이드반＋",pi,존맛탱!!!!!!
후라이드참잘하는집-서강대점,5,5,2023년 1월 28일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1(추가 선택(감자튀김))",dl,음~~~~~~~ 굿:)
후라이드참잘하는집-서강대점,5,5,2023년 1월 27일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1(추가 선택(치즈머스타드소스))",do,원래 귀찮아서 리뷰 안 쓰는데 여기 후라이드 쮼내 맛있네여 3번 시켜먹고 이제야 쓰네요 ㅎ검증 완료 됐습니다 사장님 항상 감사합니다
후라이드참잘하는집-서강대점,5,5,2023년 1월 27일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",ui,완전 바삭바삭하고 넘 맛있어요
후라이드참잘하는집-서강대점,5,5,2023년 1월 27일," ★ 5 배달 ★ 5
순살 후라이드/1(콜라1.25L로변경(콜라1.25L로변경))",nn,배달도 빠르고 그대로 맛있어요
후라이드참잘하는집-서강대점,5,5,2023년 1월 25일," ★ 5 배달 ★ 5
순살반반치킨 （후라이드반＋핫토스반） （무＋소스＋콜라）/1",11,맛있게 잘 먹었습니다:)
후라이드참잘하는집-서강대점,5,5,2023년 1월 25일," ★ 5 배달 ★ 5
반반치킨（후라이드반＋",bd,항상 후라이드는 후참잘에서 먹어요! 잘먹었습니다!
후라이드참잘하는집-서강대점,5,5,2023년 1월 25일," ★ 5 배달 ★ 5
	",kk,"
반반치킨（후라이드반＋양념반）/1"
후라이드참잘하는집-서강대점,5,5,2023년 1월 25일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1(추가 선택(치즈볼 4개))",tj,맛있게 잘먹었습니다
후라이드참잘하는집-서강대점,5,5,2023년 1월 24일," ★ 5 배달 ★ 5
후라이드（무＋소스＋콜라）/1",23,맛있게 잘 먹었어요
후라이드참잘하는집-서강대점,5,5,2023년 1월 24일," ★ 5 배달 ★ 5
반마리（순살）/1(반마리 메뉴 선택(후라이드),추가 선택(와사비마요))",yu,저번에 다른 지점에서 시켜먹었는데 역시 서강대점이 제일 맛있음 ㅜㅜ 최고에요 정말
