가게,맛,양,날짜,주문,사용자id,리뷰
후라이드참잘하는집-서강대점,5,5,2023-02-19,핫간장치킨（무＋소스＋콜라）,st,주문해놓고 샤워하고 나왔는데 바로 왔음 배달은 항상 빨라서 좋고 맛은 말할거 없이 맛있어서 매우 잘 먹었습니다.
후라이드참잘하는집-서강대점,5,5,2023-02-18,순살 후라이드,yh,맛있어요 너무 맛ㅇㅅ어옿
후라이드참잘하는집-서강대점,5,5,2023-02-17,반마리（순살）,id,너무 맛있게 잘 먹렀어요. 머스터드 소스 넉넉히 주셔수 모자라지 않게 잘 먹었습니다.
후라이드참잘하는집-서강대점,5,5,2023-02-16,반마리（순살）,rl,굳굳굳 잘 먹었습니당
후라이드참잘하는집-서강대점,5,5,2023-02-16,핫토스치킨（뼈）（무＋소스＋콜라）,st,시즈닝 팍팍~넘 맛있었요 간만에 치킨 먹은건데 기분좋게 먹었어요
후라이드참잘하는집-서강대점,5,5,2023-02-15,반반치킨（후라이드반＋,ye,맛있게 먹었어요!!
후라이드참잘하는집-서강대점,5,5,2023-02-15,후라이드（무＋소스＋콜라）,23,맛있게 잘 먹었어요
후라이드참잘하는집-서강대점,5,5,2023-02-14,반반치킨（후라이드반＋,se,11시 넘어서 주문했는데도 15분만에 왔어요 맛있게 잘 먹었습니다
후라이드참잘하는집-서강대점,5,5,2023-02-14,후라이드（무＋소스＋콜라）,23,맛있게 잘 먹었어요
후라이드참잘하는집-서강대점,5,5,2023-02-13,순살반반치킨（후라이드반＋,lo,말해 모해요… 후참잘임
후라이드참잘하는집-서강대점,5,5,2023-02-13,눈꽃치즈치킨（무＋소스＋콜라）,ad,잘먹었습니다. 지난번보다 더 맛있어요😊
후라이드참잘하는집-서강대점,5,5,2023-02-12,순살반반치킨 （,es,맛있어오 아주 근디 치킨 한 조각이 너뮤 커서 먹기가 힘들어요
후라이드참잘하는집-서강대점,5,5,2023-02-12,반마리（뼈）,cu,반마리는 양이 좀 적긴 해요 근데 맛있음 ㅋㅋ
후라이드참잘하는집-서강대점,5,5,2023-02-12,순살 ,tj,소스 넉넉한거 보세요.. 진짜 존맛ㅠㅠ 어제 밤부터 먹고싶어서 벼르다가 일어나자마자 시켰어여 최고
후라이드참잘하는집-서강대점,5,5,2023-02-12,반마리（순살）,ch,저는 후기를 자주 하지 않는 편인데 그래서도 해야지 이렇게 생각하는 만큼 맛있고 무엇보다 양이 많아서 정말 대단해요!!! 다시 꼭 주문할게요!!!
후라이드참잘하는집-서강대점,5,4,2023-02-11,반반치킨（후라이드반＋,ja,오랜만에 주문했는데 맛나게 먹었어요. 소스맛이 짱이네요^^
후라이드참잘하는집-서강대점,5,5,2023-02-11,후라이드（무＋소스＋콜라）,sl,항상 잘먹고있습니다 번창하세요
후라이드참잘하는집-서강대점,5,5,2023-02-10,반마리（순살）,hs,맛있게 잘 먹었습니다
후라이드참잘하는집-서강대점,5,5,2023-02-10,반마리（순살）,yu,정말 정말 자주 시켜먹는데 이번에는 뭔가 평소보단 조금 딱딱하고 퍽퍽 ..? 했던 거ㅠ같아서 아쉽습니다 ㅜㅜ 그래도 계속 시켜먹을거에요 서강대점이 제일 맛있어요
